Year,Author,Title,Url
"1976","Langdon G.","Workshop on microprocessors and education. 16-18 August, 1976, Colorado State University, Fort Collins, Colorado, USA, sponsored by DISE (digital systems and education) committee and the Electrical Engineering and Computer Science departments of Colorado State University",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=49549132742&origin=inward
"2008","Fidelman U.","The cybernetics of learning mathematics and computer sciences",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=40249110640&origin=inward
"1990","","International chair in computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=50849147787&origin=inward
"1992","Dias J.","Erratum: Deciphering the information content of chemical formulas: Chemical and structural characteristics and enumeration of indacenes (Journal of Chemical Information and Computer Sciences (1992) 32, (203-209))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751391689&origin=inward
"1987","","6th Internation Conference of the Chilean Computer Science Society",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=45949122153&origin=inward
"1997","Bergougnoux P.","Bridging the gap between computer science and geography",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031395871&origin=inward
"2016","Tanaka K.","Special Section on Foundations of Computer Science - Developments of the theory of algorithms and computation",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959557087&origin=inward
"1992","Balaban A.","Erratum: Topological indices and real number vertex invariants based on graph eigenvalues or eigenvectors (Journal of Chemical Information and Computer Science (1991) 31 (517-523))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751392250&origin=inward
"1971","Richard J.","Computer science and cervico-facial cancerology",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0015193333&origin=inward
"2012","Yamazaki K.","Special section on foundations of computer science-mathematical foundations and applications of computer science and algorithms",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84857828742&origin=inward
"1979","","COMPUTER SCIENCE AND STATISTICS: ANNUAL SYMPOSIUM ON THE INTERFACE, 10TH, 1977.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018284963&origin=inward
"1981","","Complexity made simple. VLSI 81, 18-21 August 1981, University of Edinburgh. Organized by the University of Edinburgh Departments of Computer Science and Electrical Engineering, and the Wolfson Microelectronics Institute",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=49049146647&origin=inward
"2001","","Erratum: On finding nonisomorphic connected subgraphs and distinct molecular substructures (Journal of Chemical Information and Computer Sciences (2001) 41 (314-320))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959372494&origin=inward
